Serie,Date,Day,Month,Year,Site,Management,Transect,Latitud_1,Longitud_1,Latitud_2,Longitud_2,Station,Depth,Surface,Species,Stage,Abundance,Substrate,Community,Frondosity ,Observaciones,Muestreado por,Anotado por,Ingresado por
2551,18-07-18,18,7,2018,ECIM,Reserve,1,-33.50403333,-72.63216667,-33.50311667,-71.6322,8,10.2,20, Lessonia trabeculata solo disco,NaN,0,2,1,A,Esta estacion del transecto incluye parche de SMURF de tesis doc BBBA con densidad media,Bryan Bularz,Bryan Bularz,Bryan Bularz
2552,18-07-18,18,7,2018,ECIM,Reserve,1,-33.50403333,-72.63216667,-33.50311667,-71.6322,8,10.2,20, Lessonia berteroana ,Adulto,0,2,1,A,Esta estacion del transecto incluye parche de SMURF de tesis doc BBBA con densidad media,Bryan Bularz,Bryan Bularz,Bryan Bularz
2553,18-07-18,18,7,2018,ECIM,Reserve,1,-33.50403333,-72.63216667,-33.50311667,-71.6322,8,10.2,20, Lessonia berteroana ,Juvenil,0,2,1,A,Esta estacion del transecto incluye parche de SMURF de tesis doc BBBA con densidad media,Bryan Bularz,Bryan Bularz,Bryan Bularz
2554,18-07-18,18,7,2018,ECIM,Reserve,1,-33.50403333,-72.63216667,-33.50311667,-71.6322,8,10.2,20, Macrocystis pyrifera ,Adulto,0,2,1,A,Esta estacion del transecto incluye parche de SMURF de tesis doc BBBA con densidad media,Bryan Bularz,Bryan Bularz,Bryan Bularz
2555,18-07-18,18,7,2018,ECIM,Reserve,1,-33.50403333,-72.63216667,-33.50311667,-71.6322,8,10.2,20, Macrocystis pyrifera ,Juvenil,0,2,1,A,Esta estacion del transecto incluye parche de SMURF de tesis doc BBBA con densidad media,Bryan Bularz,Bryan Bularz,Bryan Bularz
2556,18-07-18,18,7,2018,ECIM,Reserve,1,-33.50403333,-72.63216667,-33.50311667,-71.6322,9,6.7,20, Lessonia trabeculata ,Adulto,7,2,1,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2557,18-07-18,18,7,2018,ECIM,Reserve,1,-33.50403333,-72.63216667,-33.50311667,-71.6322,9,6.7,20, Lessonia trabeculata ,Juvenil,15,2,1,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2558,18-07-18,18,7,2018,ECIM,Reserve,1,-33.50403333,-72.63216667,-33.50311667,-71.6322,9,6.7,20, Lessonia trabeculata solo disco,NaN,0,2,1,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2559,18-07-18,18,7,2018,ECIM,Reserve,1,-33.50403333,-72.63216667,-33.50311667,-71.6322,9,6.7,20, Lessonia berteroana ,Adulto,0,2,1,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2560,18-07-18,18,7,2018,ECIM,Reserve,1,-33.50403333,-72.63216667,-33.50311667,-71.6322,9,6.7,20, Lessonia berteroana ,Juvenil,0,2,1,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2561,18-07-18,18,7,2018,ECIM,Reserve,1,-33.50403333,-72.63216667,-33.50311667,-71.6322,9,6.7,20, Macrocystis pyrifera ,Adulto,0,2,1,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2562,18-07-18,18,7,2018,ECIM,Reserve,1,-33.50403333,-72.63216667,-33.50311667,-71.6322,9,6.7,20, Macrocystis pyrifera ,Juvenil,0,2,1,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2563,18-07-18,18,7,2018,ECIM,Reserve,1,-33.50403333,-72.63216667,-33.50311667,-71.6322,10,7.9,20, Lessonia trabeculata ,Adulto,10,2,1,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2564,18-07-18,18,7,2018,ECIM,Reserve,1,-33.50403333,-72.63216667,-33.50311667,-71.6322,10,7.9,20, Lessonia trabeculata ,Juvenil,13,2,1,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2565,18-07-18,18,7,2018,ECIM,Reserve,1,-33.50403333,-72.63216667,-33.50311667,-71.6322,10,7.9,20, Lessonia trabeculata solo disco,NaN,0,2,1,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2566,18-07-18,18,7,2018,ECIM,Reserve,1,-33.50403333,-72.63216667,-33.50311667,-71.6322,10,7.9,20, Lessonia berteroana ,Adulto,0,2,1,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2567,18-07-18,18,7,2018,ECIM,Reserve,1,-33.50403333,-72.63216667,-33.50311667,-71.6322,10,7.9,20, Lessonia berteroana ,Juvenil,0,2,1,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2568,18-07-18,18,7,2018,ECIM,Reserve,1,-33.50403333,-72.63216667,-33.50311667,-71.6322,10,7.9,20, Macrocystis pyrifera ,Adulto,0,2,1,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2569,18-07-18,18,7,2018,ECIM,Reserve,1,-33.50403333,-72.63216667,-33.50311667,-71.6322,10,7.9,20, Macrocystis pyrifera ,Juvenil,0,2,1,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2570,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,1,13.5,20, Lessonia trabeculata ,Adulto,4,12,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2571,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,1,13.5,20, Lessonia trabeculata ,Juvenil,2,12,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2572,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,1,13.5,20, Lessonia trabeculata solo disco,NaN,0,12,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2573,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,1,13.5,20, Lessonia berteroana ,Adulto,0,12,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2574,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,1,13.5,20, Lessonia berteroana ,Juvenil,0,12,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2575,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,1,13.5,20, Macrocystis pyrifera ,Adulto,0,12,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2576,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,1,13.5,20, Macrocystis pyrifera ,Juvenil,0,12,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2577,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,2,10.8,20, Lessonia trabeculata ,Adulto,9,12,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2578,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,2,10.8,20, Lessonia trabeculata ,Juvenil,3,12,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2579,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,2,10.8,20, Lessonia trabeculata solo disco,NaN,0,12,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2580,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,2,10.8,20, Lessonia berteroana ,Adulto,0,12,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2581,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,2,10.8,20, Lessonia berteroana ,Juvenil,0,12,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2582,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,2,10.8,20, Macrocystis pyrifera ,Adulto,0,12,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2583,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,2,10.8,20, Macrocystis pyrifera ,Juvenil,0,12,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2584,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,3,10,20, Lessonia trabeculata ,Adulto,6,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2585,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,3,10,20, Lessonia trabeculata ,Juvenil,2,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2586,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,3,10,20, Lessonia trabeculata solo disco,NaN,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2587,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,3,10,20, Lessonia berteroana ,Adulto,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2588,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,3,10,20, Lessonia berteroana ,Juvenil,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2589,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,3,10,20, Macrocystis pyrifera ,Adulto,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2590,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,3,10,20, Macrocystis pyrifera ,Juvenil,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2591,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,4,10.3,20, Lessonia trabeculata ,Adulto,3,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2592,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,4,10.3,20, Lessonia trabeculata ,Juvenil,1,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2593,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,4,10.3,20, Lessonia trabeculata solo disco,NaN,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2594,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,4,10.3,20, Lessonia berteroana ,Adulto,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2595,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,4,10.3,20, Lessonia berteroana ,Juvenil,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2596,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,4,10.3,20, Macrocystis pyrifera ,Adulto,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2597,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,4,10.3,20, Macrocystis pyrifera ,Juvenil,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2598,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,5,8.9,20, Lessonia trabeculata ,Adulto,8,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2599,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,5,8.9,20, Lessonia trabeculata ,Juvenil,1,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2600,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,5,8.9,20, Lessonia trabeculata solo disco,NaN,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2601,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,5,8.9,20, Lessonia berteroana ,Adulto,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2602,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,5,8.9,20, Lessonia berteroana ,Juvenil,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2603,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,5,8.9,20, Macrocystis pyrifera ,Adulto,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2604,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,5,8.9,20, Macrocystis pyrifera ,Juvenil,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2605,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,6,7.9,20, Lessonia trabeculata ,Adulto,14,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2606,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,6,7.9,20, Lessonia trabeculata ,Juvenil,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2607,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,6,7.9,20, Lessonia trabeculata solo disco,NaN,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2608,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,6,7.9,20, Lessonia berteroana ,Adulto,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2609,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,6,7.9,20, Lessonia berteroana ,Juvenil,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2610,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,6,7.9,20, Macrocystis pyrifera ,Adulto,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2611,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,6,7.9,20, Macrocystis pyrifera ,Juvenil,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2612,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,7,6.6,20, Lessonia trabeculata ,Adulto,30,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2613,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,7,6.6,20, Lessonia trabeculata ,Juvenil,2,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2614,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,7,6.6,20, Lessonia trabeculata solo disco,NaN,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2615,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,7,6.6,20, Lessonia berteroana ,Adulto,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2616,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,7,6.6,20, Lessonia berteroana ,Juvenil,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2617,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,7,6.6,20, Macrocystis pyrifera ,Adulto,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2618,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,7,6.6,20, Macrocystis pyrifera ,Juvenil,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2619,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,8,6,20, Lessonia trabeculata ,Adulto,30,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2620,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,8,6,20, Lessonia trabeculata ,Juvenil,1,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2621,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,8,6,20, Lessonia trabeculata solo disco,NaN,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2622,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,8,6,20, Lessonia berteroana ,Adulto,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2623,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,8,6,20, Lessonia berteroana ,Juvenil,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2624,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,8,6,20, Macrocystis pyrifera ,Adulto,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2625,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,8,6,20, Macrocystis pyrifera ,Juvenil,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2626,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,9,6,20, Lessonia trabeculata ,Adulto,27,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2627,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,9,6,20, Lessonia trabeculata ,Juvenil,3,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2628,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,9,6,20, Lessonia trabeculata solo disco,NaN,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2629,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,9,6,20, Lessonia berteroana ,Adulto,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2630,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,9,6,20, Lessonia berteroana ,Juvenil,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2631,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,9,6,20, Macrocystis pyrifera ,Adulto,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2632,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,9,6,20, Macrocystis pyrifera ,Juvenil,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2633,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,10,5.9,20, Lessonia trabeculata ,Adulto,28,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2634,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,10,5.9,20, Lessonia trabeculata ,Juvenil,2,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2635,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,10,5.9,20, Lessonia trabeculata solo disco,NaN,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2636,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,10,5.9,20, Lessonia berteroana ,Adulto,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2637,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,10,5.9,20, Lessonia berteroana ,Juvenil,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2638,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,10,5.9,20, Macrocystis pyrifera ,Adulto,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2639,18-07-18,18,7,2018,ECIM,Reserve,2,-33.50341667,-72.63268333,-33.50391667,-71.63228333,10,5.9,20, Macrocystis pyrifera ,Juvenil,0,2,1-20-24,A,NaN,Bryan Bularz,Bryan Bularz,Bryan Bularz
2640,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,1,12.5,20, Lessonia trabeculata ,Adulto,3,"9, 10",1,A,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
2641,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,1,12.5,20, Lessonia trabeculata ,Juvenil,0,"9, 10",1,A,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
2642,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,1,12.5,20, Lessonia trabeculata solo disco,NaN,0,"9, 10",1,A,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
2643,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,1,12.5,20, Lessonia berteroana ,Adulto,0,"9, 10",1,A,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
2644,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,1,12.5,20, Lessonia berteroana ,Juvenil,0,"9, 10",1,A,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
2645,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,1,12.5,20, Macrocystis pyrifera ,Adulto,0,"9, 10",1,A,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
2646,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,1,12.5,20, Macrocystis pyrifera ,Juvenil,0,"9, 10",1,A,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
2647,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,2,11.8,20, Lessonia trabeculata ,Adulto,1,"9, 10",1,B,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
2648,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,2,11.8,20, Lessonia trabeculata ,Juvenil,0,"9, 10",1,B,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
2649,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,2,11.8,20, Lessonia trabeculata solo disco,NaN,0,"9, 10",1,B,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
2650,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,2,11.8,20, Lessonia berteroana ,Adulto,0,"9, 10",1,B,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
2651,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,2,11.8,20, Lessonia berteroana ,Juvenil,0,"9, 10",1,B,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
2652,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,2,11.8,20, Macrocystis pyrifera ,Adulto,0,"9, 10",1,B,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
2653,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,2,11.8,20, Macrocystis pyrifera ,Juvenil,0,"9, 10",1,B,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
2654,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,3,10.7,20, Lessonia trabeculata ,Adulto,1,"9, 10",1,A,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
2655,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,3,10.7,20, Lessonia trabeculata ,Juvenil,0,"9, 10",1,A,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
2656,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,3,10.7,20, Lessonia trabeculata solo disco,NaN,0,"9, 10",1,A,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
2657,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,3,10.7,20, Lessonia berteroana ,Adulto,0,"9, 10",1,A,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
2658,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,3,10.7,20, Lessonia berteroana ,Juvenil,0,"9, 10",1,A,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
2659,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,3,10.7,20, Macrocystis pyrifera ,Adulto,0,"9, 10",1,A,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
2660,18-07-18,18,7,2018,ECIM,Reserve,3,-33.50438333,-71.63325,-33.50816667,-71.63058333,3,10.7,20, Macrocystis pyrifera ,Juvenil,0,"9, 10",1,A,NaN,Rodrigo Munoz,Rodrigo Munoz,Italo Fernandez
