Serie,Date,Day,Month,Year,Site,Management,Transect,Quadrats,Place_in_transect ,Depth,Group,Species,Presence,Abundance,Holdfast,Stipes,TL,Frondosity,Obs,Sampler,Anotate,Entered by
927,27-09-18,27,9,2018,Los Vilos C,TURF,3,1,,14.9,Animal,Tegula tridentata,1,15,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
928,27-09-18,27,9,2018,Los Vilos C,TURF,3,1,,14.9,Animal,Crassilabrum crassilabrum,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
929,27-09-18,27,9,2018,Los Vilos C,TURF,3,1,,14.9,Animal,Hydrozoa,1,NaN,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
930,27-09-18,27,9,2018,Los Vilos C,TURF,3,2,,14.5,Animal,NaN,0,0,NaN,NaN,NaN,NaN,,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
931,27-09-18,27,9,2018,Los Vilos C,TURF,3,3,,14,Animal,Taliepus dentatus,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
932,27-09-18,27,9,2018,Los Vilos C,TURF,3,3,,14,Animal,Hydrozoa,1,NaN,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
933,27-09-18,27,9,2018,Los Vilos C,TURF,3,3,,14,Animal,Balanus flosculus,1,NaN,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
934,27-09-18,27,9,2018,Los Vilos C,TURF,3,3,,14,Animal,Chiton cummingi,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
935,27-09-18,27,9,2018,Los Vilos C,TURF,3,3,,14,Animal,Tonicia sp,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
936,27-09-18,27,9,2018,Los Vilos C,TURF,3,4,,14.1,Animal,Phymactis papillosa,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
937,27-09-18,27,9,2018,Los Vilos C,TURF,3,4,,14.1,Animal,Antholoba achates,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
938,27-09-18,27,9,2018,Los Vilos C,TURF,3,4,,14.1,Animal,Taliepus marginatus,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
939,27-09-18,27,9,2018,Los Vilos C,TURF,3,4,,14.1,Animal,Tegula tridentata,1,15,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
940,27-09-18,27,9,2018,Los Vilos C,TURF,3,5,,13.2,Animal,Chiton cummingi,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
941,27-09-18,27,9,2018,Los Vilos C,TURF,3,5,,13.2,Animal,Athyonidium chilensis,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
942,27-09-18,27,9,2018,Los Vilos C,TURF,3,5,,13.2,Animal,Phymactis papillosa,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
943,27-09-18,27,9,2018,Los Vilos C,TURF,3,5,,13.2,Animal,Tegula tridentata,1,88,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
944,27-09-18,27,9,2018,Los Vilos C,TURF,3,5,,13.2,Animal,Antholoba achates,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
945,27-09-18,27,9,2018,Los Vilos C,TURF,3,6,,11.8,Animal,Nacella sp,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
946,27-09-18,27,9,2018,Los Vilos C,TURF,3,6,,11.8,Animal,Crassilabrum crassilabrum,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
947,27-09-18,27,9,2018,Los Vilos C,TURF,3,6,,11.8,Animal,Phymactis papillosa,1,6,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
948,27-09-18,27,9,2018,Los Vilos C,TURF,3,6,,11.8,Animal,Gaudichaudia gaudichaudii,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
949,27-09-18,27,9,2018,Los Vilos C,TURF,3,6,,11.8,Animal,Patiria chilensis,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
950,27-09-18,27,9,2018,Los Vilos C,TURF,3,6,,11.8,Animal,Alpheus inca,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
951,27-09-18,27,9,2018,Los Vilos C,TURF,3,6,,11.8,Animal,Alpheopsis chilensis,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
952,27-09-18,27,9,2018,Los Vilos C,TURF,3,7,,10.4,Animal,Homalaspis plana,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
953,27-09-18,27,9,2018,Los Vilos C,TURF,3,7,,10.4,Animal,Paraxanthus barbiger,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
954,27-09-18,27,9,2018,Los Vilos C,TURF,3,7,,10.4,Animal,Phymactis papillosa,1,4,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
955,27-09-18,27,9,2018,Los Vilos C,TURF,3,7,,10.4,Animal,Taliepus marginatus,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
956,27-09-18,27,9,2018,Los Vilos C,TURF,3,7,,10.4,Animal,Athyonidium chilensis,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
957,27-09-18,27,9,2018,Los Vilos C,TURF,3,7,,10.4,Animal,Actinia sp,1,1,NaN,NaN,NaN,NaN,Actinia no identificada,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
958,27-09-18,27,9,2018,Los Vilos C,TURF,3,7,,10.4,Animal,Fissurella costata,1,3,NaN,NaN,NaN,NaN,Actinia no ID (blanca),Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
959,27-09-18,27,9,2018,Los Vilos C,TURF,3,8,,9,Animal,Fissurella sp,1,8,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
960,27-09-18,27,9,2018,Los Vilos C,TURF,3,8,,9,Animal,Phymactis papillosa,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
961,27-09-18,27,9,2018,Los Vilos C,TURF,3,8,,9,Animal,Patiria chilensis,1,5,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
962,27-09-18,27,9,2018,Los Vilos C,TURF,3,8,,9,Animal,Taliepus marginatus,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
963,27-09-18,27,9,2018,Los Vilos C,TURF,3,9,,7.9,Animal,Athyonidium chilensis,1,3,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
964,27-09-18,27,9,2018,Los Vilos C,TURF,3,9,,7.9,Animal,Gaudichaudia gaudichaudii,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
965,27-09-18,27,9,2018,Los Vilos C,TURF,3,9,,7.9,Animal,Tegula tridentata,1,11,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
966,27-09-18,27,9,2018,Los Vilos C,TURF,3,9,,7.9,Animal,Taliepus marginatus,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
967,27-09-18,27,9,2018,Los Vilos C,TURF,3,9,,7.9,Animal,Phymactis papillosa,1,5,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
968,27-09-18,27,9,2018,Los Vilos C,TURF,3,9,,7.9,Animal,Patiria chilensis,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
969,27-09-18,27,9,2018,Los Vilos C,TURF,3,9,,7.9,Animal,Nacella sp,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
970,27-09-18,27,9,2018,Los Vilos C,TURF,3,9,,7.9,Animal,Pachycheles sp,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
971,27-09-18,27,9,2018,Los Vilos C,TURF,3,10,,6.7,Animal,Taliepus marginatus,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
972,27-09-18,27,9,2018,Los Vilos C,TURF,3,10,,6.7,Animal,Phymactis papillosa,1,6,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
973,27-09-18,27,9,2018,Los Vilos C,TURF,3,10,,6.7,Animal,Antholoba achates,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
974,27-09-18,27,9,2018,Los Vilos C,TURF,3,10,,6.7,Animal,Gaudichaudia gaudichaudii,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
975,27-09-18,27,9,2018,Los Vilos C,TURF,3,10,,6.7,Animal,Paraxanthus barbiger,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
976,27-09-18,27,9,2018,Los Vilos C,TURF,3,10,,6.7,Animal,Allopetrolisthes angulosus,1,3,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
977,27-09-18,27,9,2018,Los Vilos C,TURF,3,10,,6.7,Animal,Petrolisthes spinifrons,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
978,27-09-18,27,9,2018,Los Vilos C,TURF,5,1,,9.3,Macroalga ,Lessonia trabeculata,1,1,27,7,97,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
979,27-09-18,27,9,2018,Los Vilos C,TURF,5,2,,8.9,Macroalga ,Lessonia trabeculata,1,1,32,4,140,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
980,27-09-18,27,9,2018,Los Vilos C,TURF,5,2,,8.9,Macroalga ,Lessonia trabeculata,1,1,21,2,171,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
981,27-09-18,27,9,2018,Los Vilos C,TURF,5,3,,8.3,Macroalga ,Lessonia trabeculata,1,1,25,13,144,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
982,27-09-18,27,9,2018,Los Vilos C,TURF,5,3,,8.3,Macroalga ,Lessonia trabeculata,1,1,24,16,100,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
983,27-09-18,27,9,2018,Los Vilos C,TURF,5,3,,8.3,Macroalga ,Lessonia trabeculata,1,1,21,7,92,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
984,27-09-18,27,9,2018,Los Vilos C,TURF,5,3,,8.3,Macroalga ,Lessonia trabeculata,1,1,26,9,84,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
985,27-09-18,27,9,2018,Los Vilos C,TURF,5,4,,8.5,Macroalga ,Lessonia trabeculata,1,1,14,4,42,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
986,27-09-18,27,9,2018,Los Vilos C,TURF,5,4,,8.5,Macroalga ,Lessonia trabeculata,1,1,27,14,84,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
987,27-09-18,27,9,2018,Los Vilos C,TURF,5,5,,8.5,Macroalga ,Lessonia trabeculata,1,1,28,4,87,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
988,27-09-18,27,9,2018,Los Vilos C,TURF,5,6,,7.4,Macroalga ,Lessonia trabeculata,1,1,29,10,132,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
989,27-09-18,27,9,2018,Los Vilos C,TURF,5,7,,7.4,Macroalga ,Lessonia trabeculata,0,0,0,0,0,0,,Italo Fernandez,Italo Fernandez,Italo Fernandez
990,27-09-18,27,9,2018,Los Vilos C,TURF,5,8,,7.7,Macroalga ,Lessonia trabeculata,1,1,28,9,56,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
991,27-09-18,27,9,2018,Los Vilos C,TURF,5,8,,7.7,Macroalga ,Lessonia trabeculata,1,1,22,7,73,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
992,27-09-18,27,9,2018,Los Vilos C,TURF,5,9,,7.1,Macroalga ,Lessonia trabeculata,1,1,19,3,88,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
993,27-09-18,27,9,2018,Los Vilos C,TURF,5,9,,7.1,Macroalga ,Lessonia trabeculata,1,1,10,1,55,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
994,27-09-18,27,9,2018,Los Vilos C,TURF,5,9,,7.1,Macroalga ,Lessonia trabeculata,1,1,8,1,57,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
995,27-09-18,27,9,2018,Los Vilos C,TURF,5,10,,6.6,Macroalga ,Lessonia trabeculata,1,1,23,17,56,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
996,27-09-18,27,9,2018,Los Vilos C,TURF,5,10,,6.6,Macroalga ,Lessonia trabeculata,1,1,23,5,45,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
997,27-09-18,27,9,2018,Los Vilos C,TURF,5,10,,6.6,Macroalga ,Lessonia trabeculata,1,1,25,11,96,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
998,28-09-18,28,9,2018,Los Vilos C,TURF,1,1,,17.8,Animal,Entalphora sp,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
999,28-09-18,28,9,2018,Los Vilos C,TURF,1,1,,17.8,Animal,Tegula quadricostata,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1000,28-09-18,28,9,2018,Los Vilos C,TURF,1,1,,17.8,Animal,Petrolisthes tuberculosus,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1001,28-09-18,28,9,2018,Los Vilos C,TURF,1,1,,17.8,Animal,Tegula tridentata,1,105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1002,28-09-18,28,9,2018,Los Vilos C,TURF,1,1,,17.8,Animal,Patiria chilensis,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1003,28-09-18,28,9,2018,Los Vilos C,TURF,1,1,,17.8,Animal,Chiton cummingi,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1004,28-09-18,28,9,2018,Los Vilos C,TURF,1,1,,17.8,Animal,Tetrapygus niger,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1005,28-09-18,28,9,2018,Los Vilos C,TURF,1,2,,15.4,Animal,Fissurella costata,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1006,28-09-18,28,9,2018,Los Vilos C,TURF,1,2,,15.4,Animal,Balanus flosculus,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1007,28-09-18,28,9,2018,Los Vilos C,TURF,1,2,,15.4,Animal,Tegula tridentata,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1008,28-09-18,28,9,2018,Los Vilos C,TURF,1,2,,15.4,Animal,Tegula quadricostata,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1009,28-09-18,28,9,2018,Los Vilos C,TURF,1,2,,15.4,Animal,Taliepus marginatus,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1010,28-09-18,28,9,2018,Los Vilos C,TURF,1,3,,15.2,Animal,Tegula quadricostata,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1011,28-09-18,28,9,2018,Los Vilos C,TURF,1,3,,15.2,Animal,Tegula tridentata,1,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1012,28-09-18,28,9,2018,Los Vilos C,TURF,1,3,,15.2,Animal,Crassilabrum crassilabrum,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1013,28-09-18,28,9,2018,Los Vilos C,TURF,1,3,,15.2,Animal,Entalphora sp,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1014,28-09-18,28,9,2018,Los Vilos C,TURF,1,3,,15.2,Animal,Rhynchocinetes typus,1,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1015,28-09-18,28,9,2018,Los Vilos C,TURF,1,3,,15.2,Animal,Pagurus edwardsii,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1016,28-09-18,28,9,2018,Los Vilos C,TURF,1,3,,15.2,Animal,Petrolisthes tuberculosus,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1017,28-09-18,28,9,2018,Los Vilos C,TURF,1,3,,15.2,Animal,Calyptraea trochiformis,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1018,28-09-18,28,9,2018,Los Vilos C,TURF,1,4,,15.3,Animal,Esponja,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1019,28-09-18,28,9,2018,Los Vilos C,TURF,1,4,,15.3,Animal,Hydrozoa,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1020,28-09-18,28,9,2018,Los Vilos C,TURF,1,4,,15.3,Animal,Pilumnoides perlatus,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1021,28-09-18,28,9,2018,Los Vilos C,TURF,1,4,,15.3,Animal,Tegula quadricostata,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1022,28-09-18,28,9,2018,Los Vilos C,TURF,1,4,,15.3,Animal,Crassilabrum crassilabrum,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1023,28-09-18,28,9,2018,Los Vilos C,TURF,1,4,,15.3,Animal,Tyrinna nobilis,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1024,28-09-18,28,9,2018,Los Vilos C,TURF,1,4,,15.3,Animal,Paraxanthus barbiger,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1025,28-09-18,28,9,2018,Los Vilos C,TURF,1,4,,15.3,Animal,Patiria chilensis,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1026,28-09-18,28,9,2018,Los Vilos C,TURF,1,5,,15.8,Animal,Tegula tridentata,1,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1027,28-09-18,28,9,2018,Los Vilos C,TURF,1,5,,15.8,Animal,Tegula quadricostata,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1028,28-09-18,28,9,2018,Los Vilos C,TURF,1,5,,15.8,Animal,Taliepus marginatus,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1029,28-09-18,28,9,2018,Los Vilos C,TURF,1,5,,15.8,Animal,Tyrinna nobilis,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1030,28-09-18,28,9,2018,Los Vilos C,TURF,1,5,,15.8,Animal,Entalphora sp,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1031,28-09-18,28,9,2018,Los Vilos C,TURF,1,5,,15.8,Animal,Fissurella sp,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1032,28-09-18,28,9,2018,Los Vilos C,TURF,1,6,,13.8,Animal,Tegula tridentata,1,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1033,28-09-18,28,9,2018,Los Vilos C,TURF,1,6,,13.8,Animal,Antholoba achates,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1034,28-09-18,28,9,2018,Los Vilos C,TURF,1,6,,13.8,Animal,Tetrapygus niger,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1035,28-09-18,28,9,2018,Los Vilos C,TURF,1,6,,13.8,Animal,Taliepus marginatus,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1036,28-09-18,28,9,2018,Los Vilos C,TURF,1,7,,9.6,Animal,Fissurella sp,1,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1037,28-09-18,28,9,2018,Los Vilos C,TURF,1,7,,9.6,Animal,Nacella sp,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1038,28-09-18,28,9,2018,Los Vilos C,TURF,1,7,,9.6,Animal,Taliepus marginatus,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1039,28-09-18,28,9,2018,Los Vilos C,TURF,1,8,,10.2,Animal,Taliepus marginatus,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1040,28-09-18,28,9,2018,Los Vilos C,TURF,1,8,,10.2,Animal,Tetrapygus niger,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1041,28-09-18,28,9,2018,Los Vilos C,TURF,1,8,,10.2,Animal,Antholoba achates,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1042,28-09-18,28,9,2018,Los Vilos C,TURF,1,8,,10.2,Animal,Fissurella sp,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1043,28-09-18,28,9,2018,Los Vilos C,TURF,1,8,,10.2,Animal,Tonicia sp,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1044,28-09-18,28,9,2018,Los Vilos C,TURF,1,8,,10.2,Animal,Balanus flosculus,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1045,28-09-18,28,9,2018,Los Vilos C,TURF,1,8,,10.2,Animal,Austromegabalanus psittacus,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1046,28-09-18,28,9,2018,Los Vilos C,TURF,1,8,,10.2,Animal,Esponja,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1047,28-09-18,28,9,2018,Los Vilos C,TURF,1,9,,9.3,Animal,Acanthopleura echinata,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1048,28-09-18,28,9,2018,Los Vilos C,TURF,1,9,,9.3,Animal,Taliepus marginatus,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1049,28-09-18,28,9,2018,Los Vilos C,TURF,1,9,,9.3,Animal,Tetrapygus niger,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1050,28-09-18,28,9,2018,Los Vilos C,TURF,1,9,,9.3,Animal,Archidoris fontaini,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1051,28-09-18,28,9,2018,Los Vilos C,TURF,1,9,,9.3,Animal,Fissurella sp,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1052,28-09-18,28,9,2018,Los Vilos C,TURF,1,10,,11.7,Animal,Concholepas concholepas,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1053,28-09-18,28,9,2018,Los Vilos C,TURF,1,10,,11.7,Animal,Patiria chilensis,1,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1054,28-09-18,28,9,2018,Los Vilos C,TURF,1,10,,11.7,Animal,Phidiana lottini,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1055,28-09-18,28,9,2018,Los Vilos C,TURF,1,10,,11.7,Animal,Crassilabrum crassilabrum,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1056,28-09-18,28,9,2018,Los Vilos C,TURF,1,10,,11.7,Animal,Tegula tridentata,1,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1057,28-09-18,28,9,2018,Los Vilos C,TURF,1,10,,11.7,Animal,Tetrapygus niger,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1058,28-09-18,28,9,2018,Los Vilos C,TURF,1,1,,17.8,Macroalga ,Lessonia trabeculata,0,0,0,0,0,0,,Italo Fernandez,Italo Fernandez,Italo Fernandez
1059,28-09-18,28,9,2018,Los Vilos C,TURF,1,2,,15.4,Macroalga ,Lessonia trabeculata,1,1,40,14,143,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
1060,28-09-18,28,9,2018,Los Vilos C,TURF,1,3,,15.2,Macroalga ,Lessonia trabeculata,1,1,10,5,53,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
1061,28-09-18,28,9,2018,Los Vilos C,TURF,1,3,,15.2,Macroalga ,Lessonia trabeculata,1,1,14,1,73,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
1062,28-09-18,28,9,2018,Los Vilos C,TURF,1,4,,15.3,Macroalga ,Lessonia trabeculata,1,1,24,3,154,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
1063,28-09-18,28,9,2018,Los Vilos C,TURF,1,4,,15.3,Macroalga ,Lessonia trabeculata,1,1,27,4,140,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
1064,28-09-18,28,9,2018,Los Vilos C,TURF,1,5,,15.8,Macroalga ,Lessonia trabeculata,1,1,20,3,117,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
1065,28-09-18,28,9,2018,Los Vilos C,TURF,1,5,,15.8,Macroalga ,Lessonia trabeculata,1,1,33,7,185,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
1066,28-09-18,28,9,2018,Los Vilos C,TURF,1,5,,15.8,Macroalga ,Lessonia trabeculata,1,1,3,4,54,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
1067,28-09-18,28,9,2018,Los Vilos C,TURF,1,6,,13.8,Macroalga ,Lessonia trabeculata,1,1,44,8,207,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
1068,28-09-18,28,9,2018,Los Vilos C,TURF,1,7,,9.6,Macroalga ,Lessonia trabeculata,1,1,8,3,32,,,Italo Fernandez,Italo Fernandez,Italo Fernandez
